Released,Model,Family,Discontinued
1-Oct-91,LaserWriter IIf,,1-May-93
,LaserWriter IIg,,1-Oct-93
21-Oct-91,Macintosh Classic II,Compact,13-Sep-93
,Macintosh Quadra 700,Quadra,15-Mar-93
,Macintosh Quadra 900,,18-May-92
,PowerBook 100,PowerBook 100,3-Aug-92
,PowerBook 140,,3-Aug-92
,PowerBook 170,,19-Oct-92
,,,
Released,Model,Family,Discontinued
1-Mar-92,Personal LaserWriter NTR,LaserWriter,1-Sep-93
23-Mar-92,Macintosh LC II,Macintosh LC,15-Mar-93
18-May-92,Macintosh Quadra 950,Quadra,14-Oct-95
3-Aug-92,PowerBook 145,PowerBook 100,7-Jul-93
14-Sep-92,Apple Performa Plus Display,Display,18-Jul-94
19-Oct-92,Macintosh IIvi,Mac II,10-Feb-93
,Macintosh IIvx,Mac II,10-Oct-93
,PowerBook 160,PowerBook 100,16-Aug-93
,PowerBook 180,PowerBook 100,16-May-94
,PowerBook Duo 210,PowerBook Duo,21-Oct-93
,PowerBook Duo 230,PowerBook Duo,27-Jul-94
,Powerbook Duo Dock,PowerBook Duo,27-Jul-94
,,,
Released,Model,Family,Discontinued
1-Jan-93,StyleWriter II,StyleWriter,17-Apr-95
,Apple Color Printer,StyleWriter,1-Feb-94
,LaserWriter Pro 600,LaserWriter,1-Oct-93
,LaserWriter Pro 630,LaserWriter,1-Sep-94
10-Feb-93,Macintosh LC III,Macintosh LC,14-Feb-94
,Macintosh Color Classic,Compact,16-May-94
,Macintosh Centris/Quadra 610,Centris,21-Oct-93
,Macintosh Centris/Quadra 650,Centris,21-Oct-93
,Quadra 800,Quadra,14-Mar-94
,PowerBook 165c,PowerBook 100,13-Dec-93
,LaserWriter Select 300,LaserWriter,3-Jan-95
,LaserWriter Select 310,LaserWriter,1-Jan-94
22-Mar-93,Workgroup Server 80,Workgroup Server,17-Oct-95
,Workgroup Server 95,Workgroup Server,3-Apr-95
,PowerCD,PowerCD,1-Jan-95
,Apple Design Powered Speakers,Speakers,1-Jan-95
7-Jun-93,PowerBook 145b,PowerBook 100,18-Jul-94
,PowerBook 180c,PowerBook 100,14-Mar-94
1-Jun-93,Personal LaserWriter 300,LaserWriter,1-Sep-94
23-Jun-93,Portable StyleWriter,StyleWriter,15-May-95
28-Jun-93,Macintosh LC 520,Macintosh LC,2-Feb-94
26-Jul-93,Workgroup Server 60,Workgroup Server,17-Oct-95
29-Jul-93,Macintosh Centris/Quadra 660AV,Quadra,12-Sep-94
,Quadra 840AV,Quadra,18-Jul-94
1-Aug-93,Apple AudioVision 14 Display,Display,14-Oct-95
16-Aug-93,Newton Message Pad,Newton,1-Mar-94
,PowerBook 165,PowerBook 100,18-Jul-94
1-Oct-93,LaserWriter Select 360,LaserWriter,22-Apr-96
,LaserWriter Pro 810,LaserWriter,1-Nov-94
,Personal LaserWriter 320,LaserWriter,16-Sep-95
18-Oct-93,Macintosh LC III+,Macintosh LC,14-Feb-94
21-Oct-93,Macintosh TV,Macintosh LC,1-Feb-95
,Macintosh Color Classic II,Compact,1-Nov-95
,Quadra 605,Quadra,17-Oct-94
,Quadra 610,Quadra,18-Jul-94
,Quadra 650,Quadra,12-Sep-94
,PowerBook Duo 250,PowerBook Duo,16-May-94
,PowerBook Duo 270c,PowerBook Duo,16-May-94
,"Apple Color Plus 14"" Display",Display,7-Aug-95
,,,
Released,Model,Family,Discontinued
1-Feb-94,Macintosh LC 550,Macintosh LC,23-Mar-95
,Macintosh LC 575,Macintosh LC,3-Apr-95
,Color StyleWriter Pro,StyleWriter,16-Dec-95
,Apple QuickTake 100,QuickTake,1-Jan-95
28-Feb-94,Quadra 610 DOS Compatible,Quadra,13-Jun-94
14-Mar-94,Power Macintosh 6100,Power Macintosh,18-May-96
,Power Macintosh 7100,Power Macintosh,6-Jan-96
,Power Macintosh 8100,Power Macintosh,3-Jan-95
25-Apr-94,Workgroup Server 6150,Workgroup Server,1-Oct-95
,Workgroup Server 8150,Workgroup Server,26-Feb-96
,Workgroup Server 9150,Workgroup Server,26-Feb-96
16-May-94,PowerBook 520c,PowerBook 500,16-Sep-95
,PowerBook 540c,PowerBook 500,16-Aug-95
,PowerBook 550,PowerBook 500,1-Apr-96
,PowerBook Duo 280,PowerBook Duo,14-Nov-94
,PowerBook Duo 280c,PowerBook Duo,1-Jan-96
,PowerBook Duo Dock II,PowerBook Duo,25-May-95
18-Jul-94,Quadra 630,Quadra,17-Apr-95
,PowerBook 150,PowerBook 100,14-Oct-95
,Apple Multiple Scan 15 Display,Display,14-Sep-96
1-Sep-94,Color StyleWriter 2400,StyleWriter,[?]
,LaserWriter 16/600 PS,LaserWriter,[?]
3-Nov-94,Macintosh LC 630,LC,2-Mar-96
1-Dec-94,Pippin,Pippin,1-Dec-97
,,,
Released,Model,Family,Discontinued
28-Jan-95,Power Macintosh 6200 / 6300,Power Macintosh,17-Oct-96
23-Feb-95,Power Macintosh 8115,Power Macintosh,[?]
1-Apr-95,StyleWriter 1200,StyleWriter,[?]
3-Apr-95,Macintosh LC 580,Macintosh LC,1-Oct-95
,Power Macintosh 5200 LC,Power Macintosh,1-Oct-96
1-May-95,Power Macintosh 6200,Power Macintosh,1-Jul-97
15-May-95,PowerBook Duo Dock Plus,PowerBook Duo,[?]
1-Jun-95,LaserWriter 4/600 PS,LaserWriter,[?]
,Color LaserWriter 12/600,LaserWriter,[?]
,Color StyleWriter 2200,StyleWriter,[?]
19-Jun-95,Power Macintosh 9500,Power Macintosh,17-Feb-97
7-Aug-95,Power Macintosh 7200,Power Macintosh,1-Apr-96
,Power Macintosh 7500,Power Macintosh,17-Feb-97
,Power Macintosh 8500,Power Macintosh,17-Feb-97
,AppleVision 1710,Display,5-Aug-97
,Apple Multiple Scan 14 Display,Display,14-Sep-96
28-Aug-95,PowerBook 190,PowerBook 100,1-Sep-96
,PowerBook 5300,PowerBook 500,1-Sep-96
,Power Macintosh 5300 LC,Power Macintosh,1-Mar-97
,PowerBook Duo 2300c,PowerBook Duo,1-Feb-97
,,,
Released,Model,Family,Discontinued
11-Jan-96,Power Macintosh 7215,Power Macintosh,[?]
,Power Macintosh 8515,Power Macintosh,1-Apr-96
15-Feb-96,Apple Network Server 500,Network Server,1-Apr-97
,Apple Network Server 700/150,Network Server,1-Apr-97
17-Feb-96,Power Macintosh 5400,Power Macintosh,1-Mar-98
19-Feb-96,Color StyleWriter 1500,StyleWriter,[?]
,Color StyleWriter 2500,StyleWriter,[?]
26-Feb-96,Workgroup Server 7250,Workgroup Server,21-Apr-97
,Workgroup Server 8550,Workgroup Server,21-Apr-97
1-Apr-96,Power Macintosh 7600,Power Macintosh,1-Oct-97
15-Apr-96,Power Macintosh 5260,Power Macintosh,1-Mar-97
22-Apr-96,Power Macintosh 7200/120 PC Compatible,Power Macintosh,1-Feb-97
,Power Macintosh 8200,Power Macintosh,19-Sep-96
1-May-96,LaserWriter 12/640PS,LaserWriter,[?]
27-Jun-96,Power Macintosh 6300,Power Macintosh,1-Jul-97
1-Oct-96,Power Macintosh 6400,Power Macintosh,1-May-97
,Color LaserWriter 12/660 PS,LaserWriter,[?]
16-Oct-96,Apple Network Server 700/200,Network Server,1-Apr-97
15-Nov-96,Power Macintosh 4400,Power Macintosh,11-Oct-97
20-Nov-96,PowerBook 1400,PowerBook,6-May-98
,,,
Released,Model,Family,Discontinued
17-Feb-97,Power Macintosh 5500,Power Macintosh,31-Mar-98
,Power Macintosh 6500,Power Macintosh,14-Mar-98
,Power Macintosh 7220,Power Macintosh,[?]
,Power Macintosh 7300,Power Macintosh,10-Nov-97
,Power Macintosh 8600,Power Macintosh,17-Feb-98
,Power Macintosh 9600,Power Macintosh,17-Mar-98
,PowerBook 3400,PowerBook,14-Mar-98
7-Mar-97,eMate 300,Newton,27-Feb-98
20-Mar-97,Twentieth Anniversary Macintosh,Power Macintosh,14-Mar-98
21-Apr-97,Workgroup Server 7350,Workgroup Server,2-Mar-98
,Workgroup Server 9650,Workgroup Server,2-Mar-98
8-May-97,PowerBook 2400c,PowerBook,14-Mar-98
16-Jun-97,Color StyleWriter 4100,StyleWriter,[?]
,Color StyleWriter 4500,StyleWriter,[?]
,Color StyleWriter 6500,StyleWriter,[?]
5-Aug-97,LaserWriter 8500,LaserWriter,[?]
,Apple ColorSync/AppleVision 750 Display,Display,10-Nov-98
10-Nov-97,Power Macintosh G3 desktop,Power Macintosh,5-Jan-99
,Power Macintosh G3 minitower,Power Macintosh,5-Jan-99
,PowerBook G3,PowerBook G3,14-Mar-98
,,,
Released,Model,Family,Discontinued
31-Jan-98,Power Macintosh G3 AIO,Power Macintosh,17-Oct-98
2-Mar-98,Macintosh Server G3,Macintosh Server,1-Jan-99
17-Mar-98,Apple Studio Display,Display,1-Jun-04
6-May-98,PowerBook G3 series,PowerBook G3,10-May-99
15-Aug-98,iMac G3,iMac,10-May-99
,,,
Released,Model,Family,Discontinued
5-Jan-99,Power Macintosh G3 (Blue & White),Power Macintosh,13-Oct-99
,Macintosh Server G3 (Blue & White),Macintosh Server,31-Aug-99
10-May-99,"PowerBook G3 (""Lombard"")",PowerBook G3,16-Feb-00
21-Jul-99,iBook G3,iBook,13-Sep-00
,"AirPort (802.11b, ""Graphite"")",AirPort,13-Nov-01
31-Aug-99,Macintosh Server G4,Macintosh Server,19-Jul-00
1-Sep-99,"Cinema Display (22"")",Displays,19-Jul-00
5-Oct-99,iMac (slot loading),iMac,7-Jan-02
13-Oct-99,Power Mac G4 Graphite,Power Macintosh,18-Jul-01
,,,
Released,Model,Family,Discontinued
16-Feb-00,"PowerBook (""Pismo"")",PowerBook G3,9-Jan-01
19-Jul-00,Power Mac G4 Cube,Power Macintosh,3-Jul-01
,"Cinema Display (22"") (ADC)",Displays,28-Jan-03
,Apple Pro Speakers (USB),Speakers,9-Jan-01
13-Sep-00,iBook (FireWire),iBook,1-May-01
,,,
Released,Model,Family,Discontinued
9-Jan-01,PowerBook G4 Titanium,PowerBook G4,16-Sep-03
,Power Mac G4 Digital Audio,Power Macintosh,18-Jul-01
,Apple Pro Speakers (minijack),Speakers,2004
1-May-01,iBook (white),iBook,22-Oct-03
18-Jul-01,Power Mac G4 Quicksilver,Power Macintosh,13-Aug-02
8-Sep-01,Server G4 Quicksilver,Macintosh Server,14-May-02
10-Nov-01,iPod (1st gen),iPod Classic,17-Jul-02
,,,
Released,Model,Family,Discontinued
7-Jan-02,"iMac G4 15""",iMac,31-Aug-04
,"iBook (14"")",iBook,22-Oct-03
29-Apr-02,eMac,eMac,5-Jul-06
14-May-02,Xserve,Xserve,10-Feb-03
Aug-02,"iMac G4 17""",iMac,31-Aug-04
,iPod (2nd gen),iPod Classic,28-Apr-03
13-Aug-02,Power Macintosh G4 MDD,Power Macintosh,9-Jun-04
27-Aug-02,Macintosh Server G4 MDD,Macintosh Server,28-Jan-03
,,,
Released,Model,Family,Discontinued
7-Jan-03,"PowerBook G4 Aluminum (12"")",PowerBook G4,16-May-06
,"PowerBook G4 Aluminum (17"")",PowerBook G4,24-Apr-06
10-Feb-03,Xserve slot loading,Xserve,6-Jan-04
,Xserve Cluster Node,Xserve,6-Jan-04
,Xserve RAID,Xserve,19-Feb-08
2-May-03,iPod (3rd gen),iPod Classic,19-Jul-04
23-Jun-03,Power Mac G5,Power Macintosh,9-Jun-04
16-Sep-03,"PowerBook G4 Aluminum (15"")",PowerBook G4,14-Feb-06
22-Oct-03,"iBook G4 (12"" / 14"")",iBook,16-May-06
18-Nov-03,"iMac G4 20""",iMac,31-Aug-04
,,,
Released,Model,Family,Discontinued
6-Jan-04,Xserve G5,Xserve,7-Aug-06
,Xserve Cluster Node G5,Xserve,7-Aug-06
,iPod In-Ear Headphones,Headphones,25-Jun-09
8-Jan-04,iPod+HP,iPod Classic,29-Jul-05
20-Feb-04,iPod Mini (1st gen),iPod Mini,23-Feb-05
7-Jun-04,AirPort Express (802.11g),AirPort Express,17-Mar-08
9-Jun-04,Power Macintosh G5 FX,Power Macintosh,19-Oct-05
28-Jun-04,"Cinema Display (20"")",Displays,Feb-09
,"Cinema Display (23"")",Displays,Nov-08
,"Cinema Display (30"")",Displays,27-Jul-10
19-Jul-04,iPod (4th gen),iPod Classic,Oct-05
31-Aug-04,"iMac G5 17""",iMac,10-Jan-06
,"iMac G5 20""",iMac,20-Mar-06
26-Oct-04,iPod Photo,iPod Classic,28-Jun-05
,,,
Released,Model,Family,Discontinued
11-Jan-05,Mac Mini,Mac Mini,28-Feb-06
,iPod Shuffle (1st gen),iPod Shuffle,12-Sep-06
